line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
6,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,"['Delays', 'High fares', 'Old trains']",Sick passenger,False,Positive,,,11218,online,2019-01-11,14:37:00,1,Friday,14,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Station infrastructure']",Train traffic,True,Positive,,,10003,online,2019-01-11,14:37:00,1,Friday,14,False
6,"Weekdays, Mon - Fri",Metro North,School,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,True,Other / No thoughts,,,10710,online,2019-01-11,14:38:00,1,Friday,14,False
D,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Negative,,,10032,online,2019-01-11,14:39:00,1,Friday,14,False
6,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only at night,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Police incident,False,Positive,,,,online,2019-01-11,14:39:00,1,Friday,14,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,,online,2019-01-11,14:40:00,1,Friday,14,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Almost never,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,False,Positive,,,11230,online,2019-01-11,14:41:00,1,Friday,14,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Use another train,Only on weekends,"['Delays', 'Lack of handicap access']",Police incident,True,Unaware,,,,online,2019-01-11,14:44:00,1,Friday,14,False
B,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Customer service', 'Overcrowded trains']",Waiting for signal change,True,Negative,,,11213,online,2019-01-11,14:44:00,1,Friday,14,False
F,~5 days per week,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,,,11215,online,2019-01-11,14:46:00,1,Friday,14,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Waiting for signal change,True,Neutral,,,,online,2019-01-11,14:49:00,1,Friday,14,False
2,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Positive,,,10030,online,2019-01-11,14:49:00,1,Friday,14,False
J,~5 days per week,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Waiting for signal change,False,Positive,,,11221,online,2019-01-11,14:49:00,1,Friday,14,False
F,~5 days per week,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Old trains', 'Lack of handicap access']",Signal malfunction,False,Positive,,,11218,online,2019-01-11,14:51:00,1,Friday,14,False
1,~5 days per week,,Work,90 min - 2 hours,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,14:51:00,1,Friday,14,False
A,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-11,14:51:00,1,Friday,14,False
Q,Everyday / Almost everyday,Bus,Work,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",No reason is given,False,Positive,,,11205,online,2019-01-11,14:55:00,1,Friday,14,False
R,Everyday / Almost everyday,Bus,Work,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Signal malfunction,True,Positive,,,,online,2019-01-11,14:56:00,1,Friday,14,False
R,"More than once a week, varies",Walk,Other,40 - 60 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-11,14:57:00,1,Friday,14,False
Q,Once a month,Walk,Other,20 - 40 min,Somewhat satisfied,,,,Only on weekends,"['Crime / Safety', 'Station infrastructure', 'Lack of handicap access']",No reason is given,True,Positive,,,,online,2019-01-11,14:58:00,1,Friday,14,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Neutral,,,11218,online,2019-01-11,14:58:00,1,Friday,14,False
5,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,,Signal malfunction,True,Positive,,,10010,online,2019-01-11,15:00:00,1,Friday,15,False
E,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Signal malfunction,False,Positive,,,,online,2019-01-11,15:01:00,1,Friday,15,False
M,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-11,15:03:00,1,Friday,15,False
D,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Waiting for signal change,True,Unaware,,,,online,2019-01-11,15:03:00,1,Friday,15,False
1,"More than once a week, varies",LIRR,Other,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Overcrowded trains']",Waiting for signal change,True,Unaware,,,11363,online,2019-01-11,15:05:00,1,Friday,15,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,All the time,"['Delays', 'Customer service', 'Lack of handicap access']",Waiting for signal change,True,Positive,,,,online,2019-01-11,15:06:00,1,Friday,15,False
5,"Weekdays, Mon - Fri",Bus,Work,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,15:07:00,1,Friday,15,False
F,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Bike,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,15:07:00,1,Friday,15,False
1,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,15:08:00,1,Friday,15,False
A,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,False,Negative,,,,online,2019-01-11,15:11:00,1,Friday,15,False
F,Once a week,Walk,Other,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-11,15:12:00,1,Friday,15,False
A,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only at night,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Negative,,,,online,2019-01-11,15:15:00,1,Friday,15,False
7,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",No reason is given,False,Positive,,,11354,online,2019-01-11,15:18:00,1,Friday,15,False
4,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only at night,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,10065,online,2019-01-11,15:20:00,1,Friday,15,False
6,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-11,15:22:00,1,Friday,15,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,,Police incident,True,Negative,,,10025,online,2019-01-11,15:24:00,1,Friday,15,False
A,~5 days per week,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'Old trains']",Train traffic,True,Positive,,,10031,online,2019-01-11,15:25:00,1,Friday,15,False
F,"More than once a week, varies",Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Customer service', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,11231,online,2019-01-11,15:28:00,1,Friday,15,False
4,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Positive,,,,online,2019-01-11,15:29:00,1,Friday,15,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,10034,online,2019-01-11,15:37:00,1,Friday,15,False
1,"More than once a week, varies",Walk,Other,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-11,15:39:00,1,Friday,15,False
Q,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Old trains', 'Lack of handicap access']",Train traffic,False,Positive,,,11230,online,2019-01-11,15:39:00,1,Friday,15,False
1,"Weekdays, Mon - Fri",Drive personal vehicle,Work,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service']",Waiting for signal change,False,Neutral,,,11429,online,2019-01-11,15:39:00,1,Friday,15,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Customer service']",Waiting for signal change,True,Positive,,,11229,online,2019-01-11,15:42:00,1,Friday,15,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,For-hire vehicle,All the time,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,,online,2019-01-11,15:45:00,1,Friday,15,False
5,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",No reason is given,True,Positive,,,11238,online,2019-01-11,15:45:00,1,Friday,15,False
7,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,,,11104,online,2019-01-11,15:48:00,1,Friday,15,False
E,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,20 - 45 min,Use another train,Only at night,"['Delays', 'Frequent route changes', 'Station infrastructure']",Signal malfunction,True,Positive,,,,online,2019-01-11,15:50:00,1,Friday,15,False
1,Once a month,Bus,,40 - 60 min,Neutral,Rarely,,Wait for next train,Only at night,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-11,15:51:00,1,Friday,15,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Almost never,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,,,10014,online,2019-01-11,15:53:00,1,Friday,15,False
4,"Weekdays, Mon - Fri",Metro North,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-11,16:01:00,1,Friday,16,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['High fares', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Negative,,,10036,online,2019-01-11,16:02:00,1,Friday,16,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,11218,online,2019-01-11,16:02:00,1,Friday,16,False
7,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Signal malfunction,True,Neutral,,,,online,2019-01-11,16:05:00,1,Friday,16,False
4,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,,online,2019-01-11,16:06:00,1,Friday,16,False
3,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Customer service']",Train traffic,False,Positive,,,,online,2019-01-11,16:09:00,1,Friday,16,False
C,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-11,16:12:00,1,Friday,16,False
Q,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,A few times a week,10 - 20 min,Walk,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",No reason is given,True,Other / No thoughts,,,,online,2019-01-11,16:14:00,1,Friday,16,False
A,"More than once a week, varies",Walk,Other,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Frequent route changes', 'High fares', 'Customer service']",No reason is given,False,Positive,,,,online,2019-01-11,16:20:00,1,Friday,16,False
B,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,,online,2019-01-11,16:22:00,1,Friday,16,False
A,"More than once a week, varies",Walk,Work,< 20 min,Neutral,Rarely,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",No reason is given,True,Positive,,,11216,online,2019-01-11,16:24:00,1,Friday,16,False
C,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,False,Negative,,,,online,2019-01-11,16:26:00,1,Friday,16,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,Rarely,20 - 45 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,True,Neutral,,,,online,2019-01-11,16:26:00,1,Friday,16,False
